"","Estado","Antiguedad","Vivienda","Plazo","Edad","EstadoCivil","Registros","Trabajo","Gastos","Ingresos","Activos","Deuda","Cantidad","Precio"
"1154","bueno",11,"propietario",12,51,"casado","no","freelance",45,80,6000,0,1000,1931
"1155","bueno",9,"propietario",36,24,"casado","no","fijo",45,140,9000,0,1000,1100
"1156","bueno",1,"padres",60,22,"soltero","no","fijo",35,90,0,0,1250,1590
"1157","malo",0,"padres",36,30,"soltero","no","otros",45,32,0,0,650,750
"1158","bueno",1,"propietario",24,33,"casado","no","fijo",45,130,3000,0,800,1465
"1159","bueno",17,"propietario",24,50,"casado","no","freelance",60,285,22000,700,500,1321
"1160","bueno",0,"padres",36,19,"soltero","no","tiempo parcial",35,75,0,0,1450,1473
"1161","bueno",5,"propietario",36,26,"casado","sí","freelance",45,150,7000,0,1500,2588
"1162","bueno",12,"propietario",60,28,"soltero","sí","fijo",35,172,3000,2000,950,1184
"1163","malo",1,"alquila",36,23,"casado","no","freelance",75,300,0,0,400,700
"1164","bueno",3,"padres",60,26,"soltero","sí","fijo",35,73,0,0,650,1200
"1165","bueno",20,"propietario",60,51,"casado","no","fijo",60,165,3500,0,500,625
"1166","malo",3,"propietario",36,38,"casado","no","freelance",90,300,3000,0,1200,1881
"1167","bueno",14,"alquila",60,30,"casado","sí","fijo",67,217,0,0,1800,1807
"1169","bueno",3,"privado",60,29,"casado","no","fijo",60,90,2000,0,1650,1800
"1170","bueno",4,"padres",36,28,"casado","no","fijo",45,100,0,0,1000,2343
"1171","bueno",0,"propietario",48,38,"casado","no","fijo",75,217,3500,0,1400,1689
"1172","malo",7,"propietario",48,29,"casado","no","fijo",60,62,4000,0,984,984
"1173","bueno",4,"alquila",6,28,"casado","no","fijo",66,60,0,0,200,1566
"1174","bueno",16,"propietario",60,32,"casado","no","fijo",60,117,1100,80,1400,1833
"1175","malo",2,"alquila",48,22,"soltero","no","fijo",42,73,0,0,940,1127
"1176","malo",2,"padres",48,30,"soltero","no","fijo",35,86,0,0,900,1127
"1177","malo",11,"propietario",48,30,"casado","no","fijo",75,67,3000,2040,1000,1093
"1178","bueno",30,"propietario",36,53,"casado","no","fijo",75,165,5000,0,900,900
"1179","malo",2,"privado",60,28,"casado","sí","fijo",75,166,6000,0,1500,1599
"1180","malo",5,"otra",48,22,"soltero","no","fijo",35,82,0,0,480,1910
"1181","malo",1,"alquila",36,24,"casado","no","freelance",44,90,0,0,1050,1493
"1182","malo",1,"alquila",60,52,"separado","sí","fijo",68,327,0,0,700,819
"1183","bueno",8,"propietario",60,34,"casado","no","fijo",75,145,3000,1800,1500,1703
"1184","bueno",20,"alquila",36,39,"casado","no","freelance",95,202,0,0,600,1461
"1185","bueno",4,"propietario",60,30,"casado","no","tiempo parcial",45,150,4000,2800,1400,1763
"1186","bueno",5,"alquila",36,46,"casado","no","fijo",82,223,0,0,450,650
"1187","bueno",3,"padres",36,52,"casado","sí","fijo",60,325,0,0,400,1700
"1188","bueno",10,"propietario",60,52,"casado","no","fijo",60,143,5500,0,1300,1661
"1189","bueno",10,"alquila",60,36,"casado","no","fijo",85,100,0,0,850,1150
"1190","bueno",11,"propietario",12,25,"casado","no","fijo",45,124,2500,1000,800,1602
"1191","bueno",22,"alquila",48,46,"casado","no","fijo",86,110,0,0,1150,1528
"1192","malo",0,"otra",48,45,"casado","no","freelance",75,120,0,0,900,964
"1193","bueno",25,"propietario",60,53,"casado","no","fijo",60,107,4000,0,800,932
"1194","malo",2,"otra",60,22,"soltero","no","fijo",35,83,0,0,1400,1430
"1195","bueno",0,"otra",36,50,"casado","no","tiempo parcial",60,162,20000,0,1000,1615
"1196","malo",0,"propietario",48,52,"casado","sí","otros",90,245,3850,2432,1520,1670
"1197","bueno",12,"privado",60,47,"casado","no","fijo",60,243,8500,0,1850,1890
"1198","bueno",4,"alquila",60,27,"soltero","no","fijo",43,76,0,0,650,1070
"1199","bueno",12,"propietario",18,35,"casado","no","fijo",60,400,6000,0,200,2225
"1200","bueno",0,"padres",48,21,"soltero","no","tiempo parcial",35,106,5000,0,500,1131
"1201","bueno",22,"propietario",36,44,"casado","no","fijo",75,120,7000,0,650,1852
"1202","malo",3,"padres",60,32,"soltero","no","fijo",35,122,0,0,2000,2050
"1203","bueno",1,"alquila",36,34,"divorciado","no","fijo",43,80,0,0,700,700
"1204","bueno",14,"privado",60,36,"casado","no","fijo",60,120,4000,1500,1500,1540
"1205","bueno",10,"alquila",48,36,"casado","no","fijo",80,200,0,0,978,1338
"1206","bueno",13,"alquila",60,36,"casado","no","fijo",79,191,4000,700,1000,1209
"1207","bueno",1,"alquila",60,24,"casado","no","fijo",52,67,0,0,800,1137
"1209","bueno",5,"alquila",12,35,"casado","sí","freelance",96,210,0,0,300,700
"1210","bueno",4,"propietario",60,42,"soltero","no","fijo",35,110,2500,0,1090,1565
"1211","bueno",3,"otra",60,55,"casado","no","fijo",45,45,0,0,600,864
"1212","bueno",19,"propietario",60,49,"casado","no","fijo",135,150,3500,0,1100,1477
"1213","malo",4,"padres",60,38,"separado","no","fijo",35,100,0,0,1300,1500
"1214","bueno",9,"propietario",60,32,"casado","no","fijo",75,345,6000,3300,700,994
"1215","bueno",7,"propietario",60,36,"casado","no","fijo",60,122,3000,0,750,850
"1216","bueno",26,"propietario",60,55,"casado","no","fijo",60,110,10000,0,1500,1527
"1217","malo",2,"alquila",60,30,"casado","sí","freelance",54,90,2000,0,1500,1500
"1218","bueno",11,"propietario",48,29,"casado","no","fijo",75,76,15000,0,300,1336
"1219","bueno",4,"alquila",36,48,"casado","no","freelance",94,340,1000,0,525,525
"1220","malo",2,"propietario",60,29,"casado","sí","fijo",60,185,6300,2300,2000,2675
"1221","bueno",5,"propietario",60,42,"casado","no","fijo",75,101,3500,0,1090,1190
"1222","bueno",3,"propietario",24,32,"casado","no","fijo",60,196,5000,300,800,1606
"1223","bueno",17,"propietario",36,47,"casado","no","fijo",75,158,17000,0,1000,2159
"1224","bueno",9,"padres",60,33,"casado","no","fijo",45,221,3000,0,1600,2344
"1225","bueno",18,"propietario",60,32,"soltero","no","fijo",35,133,3500,150,1600,2200
"1227","bueno",6,"propietario",24,45,"casado","no","freelance",90,150,5000,0,250,450
"1228","bueno",12,"propietario",12,40,"casado","no","fijo",75,390,8000,0,500,1732
"1229","bueno",2,"propietario",36,28,"casado","no","tiempo parcial",60,146,2500,0,700,1258
"1230","bueno",1,"padres",48,29,"soltero","no","freelance",45,478,9000,0,2100,2450
"1231","bueno",8,"otra",24,41,"divorciado","no","fijo",60,90,4000,0,500,1600
"1232","bueno",25,"privado",48,55,"casado","no","fijo",60,169,4000,0,1000,1459
"1233","malo",25,"propietario",60,61,"casado","sí","freelance",45,100,39000,0,1060,1134
"1234","malo",3,"alquila",18,30,"casado","no","freelance",54,90,0,0,300,425
"1235","bueno",2,"propietario",48,40,"casado","no","freelance",60,160,3000,800,1300,1521
"1236","bueno",3,"alquila",48,36,"casado","sí","fijo",82,222,0,0,1900,2100
"1237","bueno",18,"propietario",60,42,"casado","no","fijo",75,111,2500,0,1150,1640
"1238","bueno",1,"propietario",48,18,"soltero","no","tiempo parcial",45,111,7000,0,1100,1299
"1239","bueno",4,"propietario",36,23,"casado","no","fijo",75,168,4000,0,1100,1385
"1240","bueno",20,"propietario",60,49,"casado","no","freelance",90,215,4500,0,1000,1228
"1241","bueno",14,"propietario",60,28,"casado","no","freelance",75,94,5500,9500,1660,2419
"1242","bueno",0,"padres",36,26,"soltero","no","fijo",35,63,0,0,600,994
"1243","malo",8,"alquila",60,25,"casado","sí","fijo",73,280,0,0,600,1364
"1244","bueno",15,"propietario",48,33,"casado","no","fijo",75,220,7000,0,1300,2400
"1245","bueno",3,"propietario",60,30,"casado","no","fijo",45,126,3500,2400,1000,1120
"1246","bueno",20,"propietario",36,44,"casado","no","fijo",60,120,3000,0,350,400
"1247","malo",2,"padres",60,25,"divorciado","no","tiempo parcial",35,90,0,0,900,1111
"1248","bueno",17,"propietario",24,55,"casado","no","freelance",75,191,14000,0,1000,2420
"1249","bueno",20,"alquila",60,41,"soltero","no","freelance",50,148,4000,0,835,1356
"1251","bueno",2,"padres",24,26,"soltero","no","fijo",35,88,0,0,325,450
"1252","bueno",11,"padres",60,27,"casado","no","fijo",60,150,2500,0,1100,1129
"1253","malo",12,"propietario",60,34,"casado","no","fijo",60,115,4000,0,1650,1686
"1254","malo",1,"alquila",60,31,"divorciado","sí","fijo",43,76,0,0,500,1300
"1255","bueno",2,"propietario",60,37,"casado","no","fijo",60,145,3500,1100,1250,1763
"1256","malo",17,"privado",60,48,"casado","sí","freelance",60,69,7000,0,1400,1813
"1258","bueno",3,"padres",36,22,"soltero","no","fijo",35,60,19000,0,775,1050
"1259","malo",4,"padres",48,25,"soltero","no","fijo",35,73,0,0,700,814
"1260","bueno",38,"propietario",48,56,"viudo","no","fijo",35,112,3000,0,850,960
"1261","malo",12,"propietario",60,39,"casado","no","fijo",90,95,4000,250,1450,1686
"1262","bueno",15,"padres",48,40,"soltero","no","fijo",35,150,0,0,1000,1399
"1263","bueno",20,"propietario",60,51,"casado","no","fijo",60,250,2500,0,1250,1825
"1264","bueno",0,"padres",48,27,"soltero","sí","fijo",35,46,0,0,900,1216
"1265","bueno",2,"privado",60,25,"casado","no","fijo",45,60,3000,0,1150,1163
"1266","malo",4,"otra",60,25,"soltero","no","tiempo parcial",35,92,0,0,1400,1661
"1267","bueno",7,"propietario",60,36,"casado","no","fijo",90,120,6000,1500,900,1175
"1268","bueno",4,"propietario",12,32,"casado","no","fijo",45,231,13000,290,400,1198
"1269","malo",2,"alquila",60,32,"casado","no","fijo",93,175,0,0,1650,1688
"1270","bueno",2,"padres",48,23,"soltero","no","tiempo parcial",35,160,3500,1200,1200,1426
"1271","bueno",1,"padres",60,22,"soltero","no","fijo",35,109,0,0,1000,1466
"1272","malo",0,"padres",48,25,"casado","no","fijo",60,247,0,0,1900,1900
"1273","malo",0,"otra",60,34,"soltero","no","fijo",35,140,3000,0,1550,1570
"1274","bueno",2,"otra",60,41,"separado","no","freelance",35,100,5000,0,1200,1450
"1275","bueno",8,"padres",48,28,"soltero","no","fijo",35,115,500,0,360,363
"1277","bueno",3,"alquila",36,34,"soltero","no","fijo",41,63,30000,0,625,921
"1278","malo",0,"padres",60,20,"soltero","no","fijo",35,79,0,0,1570,1575
"1279","bueno",10,"alquila",48,38,"casado","no","freelance",78,333,0,0,700,1386
"1280","bueno",4,"propietario",48,49,"soltero","sí","fijo",35,183,8000,0,1200,1531
"1282","malo",0,"propietario",36,36,"casado","no","otros",45,25,3500,0,1300,2246
"1283","bueno",20,"privado",60,39,"casado","no","fijo",90,159,2000,0,750,790
"1284","malo",10,"alquila",60,39,"casado","sí","freelance",119,292,13000,2500,1500,2262
"1285","bueno",0,"alquila",60,29,"casado","no","tiempo parcial",61,160,0,0,1000,1055
"1286","bueno",21,"alquila",36,42,"casado","no","fijo",74,135,450,0,240,1275
"1287","malo",3,"alquila",60,48,"separado","sí","fijo",47,120,0,0,1000,1077
"1288","bueno",2,"propietario",36,27,"viudo","no","fijo",35,135,8000,0,750,1296
"1290","malo",1,"propietario",60,46,"casado","sí","fijo",75,209,11000,0,1800,2015
"1291","bueno",19,"alquila",18,39,"soltero","no","fijo",45,100,0,0,450,997
"1292","malo",3,"alquila",24,22,"soltero","no","freelance",50,148,0,0,700,950
"1293","malo",25,"padres",60,64,"casado","sí","fijo",45,130,0,0,2047,2946
"1294","bueno",2,"alquila",60,28,"soltero","no","fijo",45,101,0,0,1300,1333
"1295","bueno",3,"padres",36,21,"soltero","no","tiempo parcial",35,49,0,0,750,850
"1296","bueno",5,"alquila",30,58,"casado","no","fijo",80,200,15000,0,520,690
"1298","bueno",10,"alquila",36,47,"soltero","no","tiempo parcial",86,114,3500,0,400,872
"1299","bueno",17,"alquila",24,49,"casado","no","freelance",80,53,0,0,600,1104
"1300","bueno",0,"propietario",12,22,"soltero","no","fijo",35,132,3500,0,300,509
"1301","malo",0,"propietario",60,62,"casado","no","otros",45,42,4000,0,500,827
"1302","malo",2,"padres",36,24,"soltero","no","fijo",35,90,0,0,1000,1150
"1303","bueno",28,"propietario",24,59,"casado","no","freelance",60,606,6000,0,1550,1760
"1304","bueno",0,"alquila",48,36,"casado","no","fijo",74,141,0,0,1150,1485
"1305","bueno",5,"propietario",60,36,"casado","no","fijo",75,141,4000,0,1300,1435
"1306","malo",5,"padres",36,45,"casado","sí","fijo",75,68,0,0,2375,2875
"1308","bueno",4,"propietario",24,30,"casado","sí","fijo",45,165,3000,0,250,450
"1309","bueno",6,"padres",60,43,"casado","no","freelance",75,70,4000,0,1000,1548
"1310","bueno",0,"alquila",24,23,"soltero","no","fijo",42,70,0,0,125,125
"1311","bueno",9,"propietario",48,41,"separado","no","fijo",35,60,8000,1000,1200,1538
"1312","bueno",9,"alquila",36,31,"casado","sí","freelance",84,241,10000,0,3800,5852
"1313","malo",2,"alquila",12,47,"casado","sí","fijo",103,426,0,0,350,450
"1315","bueno",2,"padres",12,25,"soltero","sí","freelance",35,74,18000,0,600,1638
"1316","bueno",18,"propietario",60,49,"casado","no","fijo",135,180,13500,0,900,994
"1317","bueno",16,"propietario",36,57,"casado","no","fijo",60,154,4000,130,700,1090
"1318","malo",10,"propietario",60,26,"casado","no","fijo",60,63,5000,3000,1400,1432
"1319","bueno",11,"propietario",60,37,"casado","no","fijo",90,289,7000,250,1200,1599
"1320","malo",14,"propietario",36,45,"separado","no","fijo",45,190,12000,0,2100,2758
"1321","bueno",4,"alquila",60,24,"casado","no","fijo",75,147,0,0,1300,1700
"1322","malo",1,"propietario",60,42,"casado","sí","fijo",105,198,3500,250,1000,1245
"1323","malo",2,"alquila",24,23,"soltero","sí","freelance",75,400,0,0,750,900
"1324","bueno",1,"alquila",60,38,"casado","no","tiempo parcial",58,130,0,0,1450,1593
"1325","malo",2,"propietario",60,36,"casado","sí","freelance",60,140,29000,0,3900,4812
"1326","bueno",13,"padres",60,27,"casado","no","fijo",60,100,0,0,950,1152
"1327","bueno",5,"propietario",24,37,"casado","no","freelance",90,143,7000,0,700,900
"1328","malo",1,"alquila",36,25,"casado","no","fijo",54,87,0,0,500,646
"1329","bueno",6,"alquila",60,23,"casado","no","fijo",62,171,0,0,1000,1209
"1330","bueno",20,"propietario",36,47,"casado","no","fijo",75,203,4000,0,1050,1258
"1331","bueno",9,"propietario",18,52,"casado","no","fijo",60,154,5500,0,500,1531
"1332","bueno",15,"propietario",12,55,"casado","no","fijo",45,130,7000,0,200,1240
"1333","bueno",0,"padres",48,28,"soltero","no","fijo",35,90,3500,0,1000,1210
"1334","bueno",5,"padres",60,24,"soltero","no","fijo",35,92,0,0,1030,1068
"1336","bueno",4,"propietario",48,36,"casado","no","fijo",75,210,4000,0,1800,2628
"1337","bueno",4,"propietario",24,26,"casado","no","fijo",45,115,4000,0,500,1400
"1338","bueno",5,"padres",18,22,"soltero","no","fijo",35,80,0,0,600,1132
"1339","bueno",2,"padres",60,25,"soltero","no","fijo",35,110,0,0,860,959
"1340","bueno",4,"propietario",24,44,"casado","no","freelance",75,86,5000,0,900,1100
"1341","bueno",0,"propietario",60,56,"casado","no","otros",60,117,3000,0,1200,1347
"1342","bueno",1,"otra",42,33,"casado","sí","fijo",90,138,3500,606,1400,1700
"1343","bueno",7,"propietario",60,42,"casado","no","fijo",45,88,4000,0,850,1033
"1344","bueno",11,"padres",12,29,"casado","no","fijo",60,54,0,0,600,1683
"1345","bueno",40,"alquila",18,62,"casado","no","freelance",77,166,10000,0,900,2040
"1346","bueno",10,"propietario",60,33,"casado","no","fijo",75,364,60000,0,1300,1804
"1347","bueno",3,"propietario",48,32,"casado","no","freelance",75,65,10500,1500,1500,2155
"1348","bueno",24,"propietario",60,54,"casado","no","freelance",45,109,17000,0,2000,3400
"1349","bueno",6,"padres",36,24,"soltero","no","fijo",35,57,0,0,380,490
"1350","malo",2,"alquila",48,36,"divorciado","no","fijo",45,99,0,0,750,1350
"1351","bueno",3,"padres",48,27,"casado","no","fijo",45,227,0,0,1150,1575
"1352","bueno",11,"propietario",60,29,"soltero","no","fijo",35,57,1500,0,700,994
"1353","bueno",1,"padres",24,22,"soltero","no","tiempo parcial",35,80,0,0,150,400
"1354","malo",5,"alquila",36,22,"soltero","no","fijo",42,70,0,0,850,870
"1355","bueno",1,"alquila",48,39,"casado","no","fijo",86,105,0,0,1300,1600
"1356","malo",1,"padres",48,24,"soltero","sí","fijo",35,65,0,0,900,1061
"1357","bueno",20,"propietario",48,39,"casado","no","freelance",75,45,10000,0,2000,3650
"1358","bueno",7,"padres",48,31,"soltero","sí","fijo",35,72,5500,0,1000,1051
"1359","bueno",3,"padres",36,31,"casado","sí","fijo",60,80,0,0,1450,1700
"1360","bueno",25,"propietario",48,47,"casado","no","freelance",60,157,15000,0,1990,2460
"1361","bueno",12,"propietario",36,46,"casado","sí","fijo",60,117,3000,0,825,1325
"1362","bueno",4,"alquila",36,32,"casado","no","fijo",55,100,0,0,300,500
"1363","bueno",0,"privado",12,28,"casado","no","fijo",60,130,3000,2000,380,1308
"1367","bueno",12,"propietario",54,35,"casado","no","fijo",75,113,3000,600,1650,1800
"1368","bueno",10,"propietario",48,44,"casado","no","fijo",75,450,12000,0,1030,1128
"1369","bueno",0,"padres",48,21,"soltero","no","fijo",35,50,0,0,1000,1091
"1370","malo",2,"propietario",48,20,"soltero","no","freelance",35,450,31000,0,1500,1853
"1371","malo",0,"ignorar",36,45,"casado","no","tiempo parcial",75,87,1500,0,300,480
"1372","bueno",1,"propietario",60,34,"casado","sí","fijo",45,180,2500,300,1300,1817
"1373","bueno",1,"alquila",60,21,"casado","no","fijo",58,132,0,0,1275,1381
"1374","malo",6,"propietario",36,44,"casado","no","fijo",75,150,7000,600,650,650
"1375","bueno",1,"alquila",36,34,"casado","no","freelance",94,189,15000,1500,1500,2435
"1376","bueno",15,"alquila",48,40,"casado","sí","fijo",88,125,0,0,1100,1498
"1377","bueno",11,"padres",36,29,"soltero","no","fijo",35,64,0,0,600,1314
"1378","bueno",1,"alquila",36,44,"casado","no","fijo",105,145,0,0,1000,2275
"1379","malo",1,"alquila",36,27,"soltero","no","fijo",42,67,0,0,1000,1350
"1380","malo",1,"propietario",36,27,"casado","no","tiempo parcial",45,127,4500,3000,600,745
"1381","bueno",11,"propietario",48,46,"casado","no","freelance",75,160,10000,0,1150,1156
"1382","bueno",2,"propietario",60,43,"casado","sí","fijo",45,63,3000,0,1100,1683
"1383","bueno",1,"propietario",36,25,"viudo","no","fijo",45,60,2000,0,525,800
"1384","bueno",11,"alquila",60,28,"soltero","no","fijo",42,67,0,0,900,1399
"1385","bueno",3,"propietario",48,30,"casado","no","fijo",75,88,6000,400,1200,1796
"1386","malo",1,"alquila",48,29,"casado","no","tiempo parcial",77,170,0,0,1300,2262
"1387","bueno",15,"alquila",60,39,"casado","no","freelance",60,145,5000,0,1300,1625
"1388","malo",1,"otra",42,24,"soltero","sí","fijo",35,60,0,0,1200,1616
"1389","bueno",8,"propietario",12,29,"casado","no","fijo",45,92,6000,2400,100,1492
"1390","bueno",10,"privado",60,55,"casado","no","fijo",60,195,4000,0,1900,2150
"1391","bueno",3,"alquila",36,27,"casado","no","fijo",68,80,0,0,325,400
"1393","bueno",0,"otra",42,24,"soltero","no","fijo",35,42,0,0,800,1450
"1394","bueno",9,"otra",36,32,"soltero","no","fijo",35,125,0,0,1000,1725
"1395","bueno",4,"alquila",48,38,"casado","no","fijo",91,161,5000,0,800,1008
"1396","bueno",0,"padres",24,24,"soltero","no","tiempo parcial",35,117,4000,0,1000,1489
"1397","bueno",7,"propietario",18,33,"casado","no","freelance",60,164,4000,0,550,1679
"1398","bueno",1,"padres",60,30,"soltero","no","fijo",35,75,0,0,1000,1156
"1399","bueno",25,"otra",18,43,"casado","no","fijo",75,85,700,0,400,1205
"1400","bueno",6,"alquila",60,34,"separado","no","fijo",47,120,0,0,1100,1700
"1401","bueno",3,"alquila",48,35,"separado","no","fijo",59,240,0,0,1300,1627
"1402","bueno",4,"propietario",60,24,"casado","no","freelance",60,250,9000,3400,1250,1300
"1403","malo",0,"propietario",60,30,"casado","no","otros",60,78,3500,0,1250,1365
"1404","bueno",5,"propietario",18,28,"casado","no","fijo",60,102,2500,1300,450,1437
"1405","malo",12,"propietario",48,49,"casado","sí","fijo",45,152,7500,0,1100,2120
"1406","bueno",4,"privado",24,44,"casado","no","fijo",75,96,4000,0,580,923
"1407","malo",9,"padres",60,31,"soltero","sí","fijo",35,92,0,0,1000,1161
"1408","bueno",2,"padres",60,26,"casado","no","fijo",45,199,0,0,1500,1698
"1409","bueno",0,"propietario",48,43,"casado","no","tiempo parcial",75,71,14000,0,1100,1660
"1410","bueno",13,"propietario",60,38,"soltero","no","fijo",45,80,4000,0,1060,1274
"1411","bueno",2,"otra",42,25,"casado","no","fijo",60,190,0,0,1100,1729
"1412","bueno",8,"propietario",36,40,"casado","no","freelance",75,200,10000,0,700,800
"1413","bueno",14,"privado",12,49,"casado","no","fijo",90,140,3000,500,400,1432
"1414","malo",11,"alquila",48,40,"casado","no","fijo",59,140,0,0,1000,1930
"1415","malo",20,"propietario",36,57,"casado","no","fijo",90,114,5000,1500,1000,1193
"1416","bueno",1,"padres",48,28,"soltero","no","fijo",35,140,0,0,1400,1728
"1417","bueno",14,"padres",60,28,"casado","no","fijo",45,140,0,0,1150,1301
"1418","bueno",13,"propietario",48,54,"casado","sí","fijo",45,90,2500,0,1000,1198
"1419","bueno",0,"propietario",36,36,"casado","no","fijo",75,424,9500,700,1000,1690
"1420","bueno",1,"alquila",60,26,"casado","no","tiempo parcial",61,155,0,0,1035,1709
"1422","bueno",10,"alquila",60,26,"casado","no","fijo",78,175,0,0,1000,1314
"1423","bueno",28,"padres",24,44,"casado","no","freelance",90,180,0,0,450,1472
"1424","bueno",8,"propietario",36,30,"casado","no","fijo",60,50,5000,400,300,1890
"1425","bueno",1,"propietario",36,24,"casado","no","fijo",45,113,3500,0,1200,1702
"1426","malo",1,"alquila",48,26,"soltero","no","fijo",45,100,0,0,1400,1968
"1428","bueno",1,"propietario",60,44,"casado","no","freelance",90,905,20000,15000,1200,1381
"1429","bueno",1,"otra",36,29,"soltero","no","fijo",35,52,0,0,1000,1152
"1430","bueno",8,"propietario",60,32,"casado","no","fijo",75,157,3500,1800,1300,1590
"1431","bueno",10,"propietario",24,46,"casado","no","freelance",120,400,6000,2700,600,1080
"1432","bueno",4,"alquila",48,39,"casado","no","fijo",91,157,0,0,1300,1501
"1434","malo",10,"propietario",60,27,"casado","no","fijo",45,120,5000,2000,1570,1914
"1435","bueno",9,"alquila",60,37,"casado","no","fijo",91,162,0,0,1000,1537
"1438","bueno",8,"propietario",36,60,"casado","no","freelance",45,78,11000,0,500,670
"1439","malo",0,"alquila",36,26,"casado","no","tiempo parcial",80,195,0,0,600,785
"1440","bueno",2,"alquila",60,33,"soltero","no","fijo",75,400,0,0,1450,1457
"1442","bueno",6,"alquila",24,28,"casado","no","fijo",62,166,0,0,500,1150
"1443","bueno",20,"propietario",48,53,"casado","no","fijo",60,135,4000,0,1170,1297
"1444","bueno",10,"propietario",60,36,"casado","no","fijo",75,204,5000,0,1400,1460
"1445","bueno",14,"propietario",36,34,"casado","no","fijo",75,155,3000,1000,400,1908
"1446","bueno",1,"propietario",36,30,"casado","no","fijo",45,120,3000,1100,1750,2245
"1447","bueno",3,"padres",60,25,"soltero","no","fijo",35,130,6000,0,625,1083
"1448","bueno",2,"propietario",18,43,"casado","no","freelance",90,356,5000,800,700,1073
"1449","bueno",25,"otra",60,50,"casado","no","fijo",90,230,0,0,800,860
"1450","bueno",36,"propietario",48,58,"casado","no","fijo",45,100,5500,108,700,1291
"1451","bueno",11,"propietario",60,44,"casado","sí","fijo",60,130,3500,0,1400,1731
"1452","bueno",7,"propietario",60,23,"soltero","no","fijo",60,145,4500,0,1100,1150
"1453","bueno",0,"alquila",18,34,"casado","sí","tiempo parcial",98,81,0,0,300,450
"1454","bueno",1,"propietario",60,29,"casado","no","fijo",60,136,7000,0,1000,1688
"1455","bueno",17,"propietario",60,32,"casado","no","fijo",75,200,5000,2500,1550,1721
"1457","bueno",18,"alquila",42,35,"casado","no","fijo",76,157,0,0,800,1687
"1458","bueno",0,"padres",48,24,"soltero","no","tiempo parcial",45,76,0,0,1640,1649
"1459","bueno",2,"propietario",60,25,"casado","no","freelance",45,200,6000,1500,1600,1866
"1460","bueno",1,"padres",12,24,"soltero","no","fijo",35,128,0,0,300,1056
"1461","bueno",2,"propietario",18,37,"casado","no","fijo",90,90,1500,0,400,1166
"1462","malo",5,"alquila",48,30,"separado","sí","tiempo parcial",39,41,0,0,1300,1600
"1463","bueno",12,"propietario",48,35,"casado","no","fijo",45,125,6000,0,350,1511
"1464","bueno",1,"otra",36,28,"soltero","no","freelance",35,100,0,0,1950,2074
"1465","bueno",14,"propietario",60,45,"casado","no","fijo",120,250,18000,0,450,911
"1466","malo",3,"padres",36,19,"soltero","sí","fijo",35,47,0,0,500,700
"1467","bueno",2,"padres",24,30,"casado","no","tiempo parcial",45,57,0,0,500,974
"1468","malo",6,"propietario",12,36,"casado","sí","fijo",90,78,6000,2700,300,500
"1469","malo",2,"alquila",36,29,"casado","no","fijo",85,100,0,0,2100,2300
"1470","bueno",13,"propietario",60,28,"casado","no","fijo",60,102,3500,0,1175,1375
"1471","bueno",0,"alquila",60,27,"casado","no","fijo",58,133,0,0,400,1136
"1472","bueno",3,"otra",48,22,"soltero","no","freelance",60,104,5000,0,1300,1813
"1474","bueno",1,"padres",48,26,"soltero","no","freelance",35,500,0,0,1300,1561
"1475","malo",8,"alquila",60,40,"separado","no","fijo",70,100,0,0,1300,1510
"1476","malo",1,"propietario",60,52,"soltero","no","fijo",35,150,6000,0,1580,1756
"1477","malo",1,"padres",60,24,"soltero","no","tiempo parcial",35,115,0,0,1400,1420
"1478","malo",0,"propietario",48,38,"casado","no","freelance",90,38,2800,0,1050,1238
"1479","malo",1,"alquila",36,25,"casado","no","tiempo parcial",67,67,0,0,775,850
"1480","malo",3,"alquila",60,38,"casado","sí","tiempo parcial",72,123,0,0,1030,1170
"1481","bueno",18,"propietario",60,36,"casado","no","fijo",45,85,3000,0,1500,1856
"1482","malo",0,"propietario",60,44,"divorciado","sí","fijo",60,60,4000,3378,1400,1703
"1483","malo",4,"propietario",60,33,"casado","no","tiempo parcial",90,82,3500,1000,1300,1795
"1484","bueno",1,"propietario",36,36,"soltero","no","fijo",35,345,18000,0,2000,2961
"1485","bueno",0,"padres",36,26,"casado","no","tiempo parcial",60,142,0,0,1000,1426
"1486","bueno",10,"propietario",24,63,"casado","no","freelance",60,107,17000,0,800,1472
"1487","bueno",2,"propietario",60,40,"casado","no","fijo",90,161,8000,470,1200,1670
"1488","malo",4,"otra",60,24,"soltero","no","tiempo parcial",35,63,0,0,900,1777
"1489","bueno",4,"propietario",24,22,"soltero","no","fijo",35,79,4000,0,1000,1618
"1490","malo",7,"padres",60,40,"casado","no","fijo",90,93,8000,0,1300,1588
"1491","bueno",11,"propietario",36,26,"casado","no","fijo",45,137,6000,0,1000,1264
"1492","malo",4,"privado",60,30,"casado","sí","fijo",60,74,1500,0,870,875
"1493","bueno",15,"propietario",48,31,"casado","no","fijo",60,131,3000,0,770,872
"1494","bueno",4,"propietario",48,22,"soltero","no","fijo",45,113,14000,0,1300,1410
"1495","malo",1,"propietario",60,61,"casado","no","otros",45,30,6000,0,1000,1055
"1496","bueno",7,"padres",30,33,"casado","no","fijo",75,154,4000,125,850,2243
"1497","bueno",28,"propietario",24,45,"casado","no","fijo",75,164,5000,0,600,1190
"1498","bueno",3,"propietario",36,35,"casado","no","fijo",75,84,3000,144,475,800
